iter	Passed	Remaining
405	5900	139442
406	5914	139404
407	5926	139331
408	5939	139271
409	5952	139220
410	5965	139188
411	5980	139174
412	5994	139151
413	6008	139130
414	6017	138973
415	6030	138927
416	6043	138894
417	6055	138813
418	6069	138785
419	6082	138727
420	6096	138710
421	6109	138674
422	6121	138592
423	6137	138610
424	6151	138587
425	6165	138563
426	6178	138525
427	6191	138462
428	6203	138397
429	6216	138352
430	6230	138317
431	6243	138287
432	6255	138208
433	6270	138202
434	6285	138199
435	6298	138160
436	6312	138138
437	6326	138116
438	6338	138037
439	6353	138033
440	6367	138027
441	6382	138016
442	6396	137984
443	6410	137964
444	6422	137896
445	6435	137858
446	6449	137840
447	6462	137781
448	6475	137746
449	6488	137709
450	6500	137644
451	6514	137609
452	6528	137580
453	6540	137524
454	6551	137444
455	6566	137438
456	6580	137406
457	6597	137460
458	6611	137438
459	6625	137414
460	6639	137392
461	6650	137301
462	6665	137290
463	6679	137284
464	6694	137267
465	6708	137249
466	6722	137229
467	6733	137152
468	6747	137129
469	6760	137087
470	6773	137029
471	6786	136995
472	6798	136930
473	6811	136883
474	6825	136865
475	6838	136820
476	6851	136786
477	6863	136720
478	6877	136693
479	6890	136656
480	6904	136636
481	6914	136548
482	6928	136509
483	6941	136486
484	6955	136460
485	6969	136445
486	6981	136376
487	6993	136311
488	7007	136287
489	7025	136343
490	7040	136347
491	7055	136354
492	7075	136450
493	7090	136445
494	7111	136551
495	7128	136584
496	7143	136584
497	7170	136816
498	7186	136837
499	7199	136797
500	7212	136741
501	7229	136785
502	7243	136763
503	7259	136773
504	7272	136742
505	7285	136696
506	7299	136676
507	7311	136608
508	7324	136580
509	7338	136556
510	7352	136528
511	7366	136513
512	7379	136464
513	7390	136401
514	7404	136369
515	7417	136337
516	7432	136329
517	7444	136273
518	7456	136206
519	7470	136184
520	7484	136177
521	7497	136135
522	7508	136060
523	7522	136034
524	7536	136018
525	7550	135991
526	7562	135941
527	7575	135891
528	7588	135857
529	7603	135854
530	7617	135842
531	7632	135836
532	7648	135859
533	7665	135877
534	7680	135871
535	7694	135866
536	7712	135902
537	7727	135899
538	7743	135917
539	7754	135846
540	7768	135833
541	7781	135787
542	7795	135762
543	7809	135751
544	7821	135688
545	7835	135673
546	7851	135679
547	7866	135689
548	7881	135678
549	7896	135683
550	7912	135688
551	7927	135687
552	7941	135661
553	7955	135639
554	7966	135569
555	7980	135558
556	7996	135570
557	8011	135570
558	8026	135552
559	8039	135514
560	8050	135453
561	8064	135432
562	8077	135398
563	8091	135375
564	8108	135410
565	8128	135477
566	8141	135449
567	8156	135443
568	8168	135392
569	8181	135354
570	8194	135318
571	8209	135316
572	8223	135299
573	8229	135145
574	8245	135149
575	8259	135137
576	8273	135117
577	8287	135092
578	8298	135028
579	8312	135002
580	8325	134978
